election,candidate,stock_name,stock_code,category,desc,start_date,end_date
20대,윤석열,서연탑메탈,019770,인맥주,사외이사가 윤석열 후보와 서울대학교 법대 동문이라는 이유로 윤석열 테마주의 대장주,2022.02.05,2022.03.16
20대,윤석열,덕성,004830,인맥주,이봉근 대표이사와 김원일 사외이사가 윤석열 후보와 서울대 법대 동문이라는 점이 부각,2022.02.05,2022.03.16
20대,윤석열,한전기술,052690,정책주주,대표적인 정책주. 윤석열 후보의 '탈원전 정책 폐기' 및 '원전 생태계 복원' 공약의 최대 수혜주,2022.02.05,2022.03.16
20대,윤석열,두산에너빌리티,034020,인맥주,대표적인 정책주. 윤석열 후보의 '탈원전 정책 폐기' 및 '원전 생태계 복원' 공약의 최대 수혜주,2022.02.05,2022.03.16
20대,안철수,안랩,053800,인맥주,안철수 후보 창업 회사,2022.02.05,2022.03.16
20대,안철수,까뮤이앤씨,013700,인맥주,사외이사가 안철수 지지모임 대표 역임,2022.02.05,2022.03.16
20대,안철수,광진실업,026910,인맥주,안철수 테마주로 거론,2022.02.05,2022.03.16
20대,안철수,오픈베이스,049480,인맥주,안철수 테마주로 거론,2022.02.05,2022.03.16
20대,안철수,써니전자,004770,인맥주,전 대표가 안랩 출신,2022.02.05,2022.03.16
21대,이재명,코나아이,052400,정책주,지역화폐 정책 관련,2025.05.03,2025.06.10
21대,이재명,웹케시,053580,정책주,지역화폐 정책 관련,2025.05.03,2025.06.10
21대,이재명,바른손이앤에이,035620,정책주,내수 진작용 자금 기대 (영화 관련주),2025.05.03,2025.06.10
21대,이재명,경방,000050,인맥주,장남이 재직했던 사모펀드 자회사,2025.05.03,2025.06.10
21대,이재명,상지건설,004940,인맥주,개인적 인연을 앞세운 인맥주,2025.05.03,2025.06.10
21대,김문수,평화홀딩스,010770,정책주,김문수 후보 관련주,2025.05.03,2025.06.10
21대,김문수,평화산업,090080,정책주,김문수 후보 관련주,2025.05.03,2025.06.10
21대,김문수,세원물산,024830,인맥주,본사가 김문수 후보 고향에 소재,2025.05.03,2025.06.10
21대,김문수,옵티시스,109080,인맥주,경기도지사 시절 G창업 프로젝트 지원,2025.05.03,2025.06.10
21대,김문수,사조씨푸드,014710,인맥주,김문수 후보 테마주로 언급,2025.05.03,2025.06.10
21대,김문수,대영포장,014160,인맥주,유니버셜 스튜디오 코리아 리조트 근처 소재,2025.05.03,2025.06.10
21대,김문수,한솔홈데코,025750,인맥주,김문수 후보 테마주로 언급,2025.05.03,2025.06.10
21대,한동훈,대상홀딩스우,084695,인맥주,이정재 연인 임세령 대상홀딩스 부회장 연관,2025.05.03,2025.06.10
21대,한동훈,디티앤씨알오,383930,인맥주,사외이사가 한동훈 후보와 동문 및 법무관 동기,2025.05.03,2025.06.10
21대,한동훈,원익큐브,014190,인맥주,감사가 같은 검찰청 근무,2025.05.03,2025.06.10
21대,한동훈,태양금속,004100,인맥주,회장과 같은 '청주 한씨',2025.05.03,2025.06.10
21대,한동훈,부방,014470,인맥주,한동훈 테마주로 분류,2025.05.03,2025.06.10
21대,한동훈,핑거,163730,인맥주,한동훈 테마주로 분류,2025.05.03,2025.06.10
21대,한동훈,노을,376930,인맥주,한동훈 테마주로 분류,2025.05.03,2025.06.10
21대,한동훈,오파스넷,173130,인맥주,한동훈 테마주로 분류,2025.05.03,2025.06.10
21대,한동훈,극동유화,014530,인맥주,한동훈 테마주로 분류,2025.05.03,2025.06.10
21대,한덕수,일정실업,008500,인맥주,부회장이 규제개혁위원회에서 함께 활동,2025.05.03,2025.06.10
21대,한덕수,티와이홀딩스우,36328K,인맥주,태영그룹 회장이 한덕수 후보와 서울대-하버드대 동문,2025.05.03,2025.06.10
21대,한덕수,태영건설,009410,인맥주,대표이사가 한덕수 후보와 경기고-서울대 동문,2025.05.03,2025.06.10
21대,한덕수,태영건설우,009415,인맥주,대표이사가 한덕수 후보와 경기고-서울대 동문,2025.05.03,2025.06.10
21대,한덕수,티와이홀딩스,363280,인맥주,태영그룹 회장이 한덕수 후보와 서울대-하버드대 동문,2025.05.03,2025.06.10
21대,한덕수,아이스크림에듀,289010,인맥주,모회사가 시공테크,2025.05.03,2025.06.10
21대,한덕수,시공테크,020710,인맥주,한덕수 테마주로 언급,2025.05.03,2025.06.10
21대,김동연,PN풍년,024940,인맥주,김동연 후보 경기도지사 당선 관련,2025.05.03,2025.06.10
21대,오세훈,진양화학,051630,인맥주,오세훈 후보 대선 불출마 선언으로 급락,2025.05.03,2025.06.10
21대,오세훈,진양산업,003780,인맥주,오세훈 후보 대선 불출마 선언으로 급락,2025.05.03,2025.06.10
21대,홍준표,경남스틸,039240,인맥주,홍준표 후보 경선 탈락 후 급락,2025.05.03,2025.06.10
21대,안철수,안랩,053800,인맥주,안철수 후보 창업 회사,2025.05.03,2025.06.10
21대,안철수,써니전자,004770,인맥주,전 대표가 안랩 출신,2025.05.03,2025.06.10
21대,안철수,까뮤이앤씨,013700,인맥주,사외이사가 안철수 지지모임 대표 역임,2025.05.03,2025.06.10
