단어,빈도,점수
대화,3,1.0
중간,3,-0.25
환자,3,1.0
한편,3,0.5
바콘,3,1.0
나타내다,3,1.0
상치,3,-0.1429
선단,3,1.0
원자재,3,0.2
마이크로소프트,3,1.0
조합,3,1.0
통한,3,1.0
최신,3,0.5
변화,3,0.0
툴로넨,3,1.0
데스,3,1.0
가로지르다,3,1.0
배당,3,1.0
조사,3,0.2
포레,3,0.2
아이넨,3,1.0
레이스,3,1.0
마켓,3,0.5
기타,3,1.0
타다,3,0.5
공동,3,0.2
비료,3,1.0
폐기물,3,0.5
장치,3,0.5
자체,3,0.5
경영,3,0.2
적자,3,0.0
에스티,3,1.0
포의,3,1.0
개장,3,1.0
파운드,3,0.2
이틀,3,0.5
파일,3,1.0
등록,3,1.0
마련,3,0.5
살로,3,0.0
니스,3,1.0
최적화,3,1.0
싱가포르,3,1.0
코스,3,0.2
개발자,3,1.0
줄이다,3,-0.4
후보,3,1.0
컴포넌타,3,0.5
투자가,3,1.0
고정,3,0.2
포괄,3,1.0
탈렌툼,3,-0.3333
예비,3,0.5
부사,3,1.0
스톤,3,1.0
컴퓨터,3,0.5
살라,3,0.5
동물성,3,1.0
충전,3,1.0
급등,3,0.5
라이너,3,1.0
크래프트,3,1.0
나아가다,3,1.0
빨르다,3,1.0
도움,3,1.0
피터스버그,3,1.0
스케,3,0.2
논문,3,1.0
사무실,3,1.0
컴포넌트,3,0.5
바이오디젤,3,1.0
쉬다,3,1.0
설명,3,-0.25
아이,3,1.0
그로,3,1.0
고기,3,1.0
배포,3,1.0
창고,3,1.0
곡물,3,1.0
바흐,3,1.0
진단,3,0.2
개조,3,1.0
바라다,3,1.0
조직,3,0.2
메르,3,0.5
채권,3,1.0
돌아서다,3,0.5
얻다,3,1.0
불가리아,3,1.0
공사,3,1.0
모의,3,1.0
역사상,3,1.0
가까이,3,0.5
거의,3,-0.4
현대,3,1.0
저렴하다,3,0.5
드라이브,3,1.0
인근,3,1.0
추진,3,1.0
흥미롭다,3,1.0
단체,3,0.0
매년,3,1.0
파노,3,1.0
전문성,3,1.0
페이퍼,3,0.0
지오,3,0.5
시범,3,1.0
유통업체,3,1.0
그렇다,3,1.0
이드,3,1.0
보르,3,1.0
배치,3,1.0
이티,3,0.5
안감,3,1.0
사무소,3,0.5
줍다,3,1.0
충분하다,3,0.2
상하이,3,1.0
스탠다드차타드,3,1.0
정책,3,0.5
중부,3,0.5
동유럽,3,1.0
연장,3,0.2
엔진,3,1.0
텔레,3,0.5
인정받다,3,1.0
전문가,3,1.0
담당,3,0.5
획득,3,1.0
화로,3,1.0
평가,3,1.0
마티,3,1.0
확인,3,0.2
적절하다,3,1.0
수수료,3,0.2
적다,3,-0.25
크라운,3,1.0
노출,3,1.0
마가린,2,1.0
따라서,2,0.3333
주장,2,0.3333
자르다,2,1.0
터미널,2,0.3333
공간,2,1.0
연말,2,0.3333
커뮤니티,2,1.0
이해,2,0.3333
후원,2,1.0
승리,2,1.0
중이,2,0.3333
미화,2,0.3333
최소,2,1.0
단일,2,1.0
매디슨,2,1.0
균형,2,1.0
이루다,2,1.0
이뤄지다,2,0.0
혜택,2,1.0
지다,2,1.0
꾸준하다,2,1.0
철광석,2,1.0
세미나,2,1.0
추세,2,0.0
미치다,2,-0.7333
플라스틱,2,1.0
한번,2,1.0
상무,2,0.3333
출하,2,1.0
총괄,2,1.0
열렬하다,2,1.0
링크,2,-0.2
대신,2,1.0
발틱스,2,1.0
프로비저닝,2,1.0
선물,2,0.3333
뚜렷하다,2,1.0
나머지,2,1.0
우루과이,2,1.0
문구,2,0.3333
채용,2,1.0
공격,2,1.0
당국,2,0.3333
부합,2,1.0
상환,2,1.0
의장,2,0.3333
사상,2,1.0
이마리,2,-0.2
감독,2,1.0
상의,2,1.0
발전소,2,1.0
병합,2,1.0
카우나스,2,1.0
나브텍,2,1.0
월요일,2,-0.3333
대가,2,1.0
성은,2,0.3333
블랙스톤,2,1.0
과자,2,1.0
이정표,2,1.0
전의,2,-0.3333
타임,2,1.0
긴밀하다,2,1.0
사슬,2,1.0
돌다,2,0.0
비율,2,0.3333
동일하다,2,1.0
첸코프,2,0.0
인텔,2,1.0
유로켐,2,1.0
로프,2,1.0
소규모,2,0.3333
부담,2,-0.3333
인정,2,0.3333
성도,2,1.0
갱신,2,1.0
홍보,2,1.0
잠재,2,1.0
확충,2,1.0
마무리,2,1.0
델리,2,1.0
에이,2,1.0
찬성,2,1.0
모델링,2,1.0
캠페인,2,1.0
영광,2,1.0
티모,2,1.0
신선하다,2,1.0
비행,2,1.0
인접,2,1.0
안전성,2,1.0
해양,2,0.3333
지금,2,0.0
결제,2,1.0
사전,2,1.0
치료,2,1.0
신제품,2,1.0
쿠이투,2,1.0
시마노,2,1.0
터치,2,1.0
버스,2,1.0
스토어,2,1.0
진전,2,1.0
구동,2,1.0
연맹,2,1.0
전통,2,1.0
움직임,2,1.0
양사,2,0.3333
농장,2,1.0
철골,2,1.0
탄소,2,1.0
리치,2,1.0
기지국,2,1.0
관찰,2,1.0
확실하다,2,0.3333
페리,2,0.0
방문객,2,1.0
인적,2,1.0
인증,2,1.0
모건,2,0.3333
팜유,2,1.0
미카,2,1.0
솔텍,2,1.0
거치다,2,1.0
트릭,2,0.3333
유명,2,1.0
트럭,2,0.3333
컨셉,2,1.0
사실,2,1.0
베니,2,1.0
라운드,2,1.0
사례,2,1.0
대응,2,1.0
재고,2,0.3333
변경,2,0.0
사항,2,1.0
위생,2,1.0
이스라엘,2,1.0
마루,2,1.0
상호,2,1.0
끝나다,2,0.3333
탄자니아,2,1.0
수상하다,2,1.0
내부,2,1.0
큐어,2,1.0
버그,2,1.0
번창,2,1.0
파크,2,1.0
리앤,2,1.0
폴리스,2,1.0
살로몬,2,1.0
기대,2,1.0
그녀,2,1.0
구름,2,1.0
란스,2,0.0
레민카이넨,2,1.0
카탈,2,0.3333
루오,2,0.3333
하청,2,1.0
핀란드인,2,1.0
수명,2,1.0
중심,2,1.0
부샨,2,1.0
란타넨,2,1.0
지출,2,-0.3333
기상,2,1.0
카메라,2,1.0
제품군,2,1.0
비디오,2,1.0
소비재,2,1.0
치르다,2,-0.5
스틸,2,1.0
토쿰,2,1.0
뜨겁다,2,1.0
하이,2,1.0
방식,2,1.0
주차,2,1.0
알루미늄,2,1.0
아가,2,1.0
신문,2,0.3333
호텔,2,1.0
살콤프,2,0.0
직접,2,1.0
손잡이,2,1.0
지명,2,1.0
위원회,2,0.3333
오렌지색,2,1.0
구속력,2,1.0
상부,2,1.0
몰리브덴,2,1.0
총지배인,2,1.0
아르,2,1.0
페스,2,1.0
표준,2,1.0
요청,2,0.3333
페트,2,1.0
베스트,2,1.0
중심지,2,1.0
조물,2,1.0
예테보리,2,1.0
까다롭다,2,1.0
보험사,2,0.0
지표,2,1.0
레저,2,1.0
적극,2,1.0
엔드,2,1.0
도입,2,1.0
기초,2,1.0
대회,2,1.0
사회,2,1.0
연금,2,0.3333
강점,2,1.0
스카니아,2,1.0
건의,2,0.3333
스위스,2,1.0
도로,2,1.0
난방,2,-0.2
말레이시아,2,1.0
사바,2,1.0
인더스,2,1.0
재건,2,1.0
허다,2,0.0
친밀하다,2,1.0
씨티,2,1.0
우토쿰푸,2,0.3333
문화,2,1.0
이름,2,1.0
일렉트로,2,1.0
피치,2,1.0
파이오니어,2,1.0
도서관,2,1.0
콘텐츠,2,1.0
수여,2,1.0
예술,2,1.0
좋아하다,2,1.0
교육,2,1.0
쿠퍼,2,1.0
껑충,2,1.0
국립,2,1.0
뛰다,2,1.0
농기,2,1.0
목록,2,1.0
나라,2,1.0
아스포콤프,2,0.0
바이아,2,1.0
보호,2,1.0
혐의,2,0.0
코어,2,1.0
포흐욜라,2,1.0
해치,2,1.0
활성화,2,0.3333
수송,2,1.0
디바,2,1.0
아랍에미리트,2,1.0
후지,2,1.0
폐수,2,1.0
엔지니어,2,1.0
유망,2,1.0
요소,2,1.0
카르,2,-0.2
뱅크,2,-0.2
두브나,2,1.0
바운드,2,1.0
뱅킹,2,1.0
준수,2,1.0
색상,2,1.0
제어,2,1.0
가지다,2,1.0
날메펜,2,1.0
포스트,2,1.0
리프트,2,0.3333
사이,2,-0.4286
불리다,2,1.0
테크,2,0.0
대기업,2,1.0
홀딩스,2,1.0
넓히다,2,1.0
실바,2,1.0
다양하다,2,0.3333
레밍,2,1.0
레네르코,2,1.0
그리드,2,1.0
프레임워크,2,1.0
주로,2,0.0
우수하다,2,1.0
베이,2,1.0
바닥,2,1.0
청약,2,1.0
평방,2,1.0
연구개발,2,0.3333
퍼스,2,1.0
에스,2,1.0
카레,2,1.0
라이프,2,1.0
지스,2,0.0
메시,2,1.0
약속,2,0.0
공구,2,0.0
부르다,2,1.0
우라늄,2,1.0
종목,2,0.3333
전날,2,1.0
포스코,2,1.0
홍콩,2,0.3333
의결권,2,0.0
대로,2,1.0
석주,2,1.0
신용거래,2,1.0
네타,2,1.0
화물량,2,1.0
손해,2,0.3333
초기,2,1.0
급속하다,2,0.3333
신설,2,1.0
강조,2,1.0
스킬라,2,1.0
친환경,2,1.0
유람선,2,1.0
분명하다,2,0.3333
짜다,2,0.3333
어포너,2,1.0
써다,2,1.0
렘콘,2,1.0
태양광,2,1.0
중동,2,1.0
브리스톨,2,1.0
임명,2,1.0
정상,2,-0.2
프랑스,2,0.3333
알스,2,1.0
태클,2,1.0
지리,2,1.0
일치,2,1.0
스톡홀름,2,-0.3333
제약회사,2,0.3333
남아프리카,2,1.0
필리오,2,1.0
항공기,2,1.0
정상화,2,0.3333
오토바이,2,1.0
사피,2,1.0
로열,2,1.0
유니,2,1.0
브루,2,1.0
필리스,2,1.0
보급,2,1.0
라스,2,1.0
남아공,2,1.0
패턴,2,1.0
지점,2,1.0
보완,2,1.0
단지,2,0.3333
모집,2,1.0
글라스,2,0.0
컨버터,2,1.0
스위치,2,1.0
물의,2,1.0
아토,2,1.0
연례,2,0.3333
요구,2,0.3333
체인점,2,0.3333
문서,2,1.0
취항,2,1.0
농축,2,1.0
황산,2,1.0
하비,2,0.0
슬로바키아,2,1.0
여객,2,0.3333
모색,2,1.0
제련소,2,1.0
오토,2,1.0
업종,2,1.0
융합,2,1.0
차세대,2,1.0
우크라이나,2,1.0
레인,2,1.0
트레이딩,2,1.0
채택,2,1.0
동영상,2,1.0
틀다,2,0.3333
비경,2,-0.5556
텔레스트,2,1.0
상대,2,0.0
록스,2,1.0
소트,2,1.0
대출,2,-0.2
부지,2,0.3333
망치,2,-0.2
앞서다,2,1.0
도의,2,-0.2
이메일,2,1.0
소셜,2,1.0
마이,2,1.0
한국,2,1.0
세탁,2,1.0
텔레마,2,1.0
라틴,2,1.0
이그,2,1.0
홀딩,2,1.0
음료,2,1.0
부가,2,1.0
발트,2,0.3333
융자,2,1.0
장악,2,0.3333
양조장,2,0.3333
페카,2,0.3333
가금류,2,1.0
합치다,2,1.0
약국,2,0.3333
타임즈,2,1.0
도이칠란트,2,1.0
인터뷰,2,1.0
이탈리아,2,0.0
아메리카,2,0.3333
점차,2,1.0
기자회견,2,1.0
스비투,2,1.0
대상,2,-0.2
멀티미디어,2,1.0
룰라,2,1.0
마을,2,1.0
철제,2,1.0
해협,2,1.0
키론살,2,1.0
리나,2,1.0
인용,2,1.0
식물성,2,1.0
집계,2,0.0
헝가리,2,0.3333
사의,2,-0.2
정제,2,0.3333
액체,2,0.3333
사업인,2,1.0
짓다,2,1.0
소매업,2,1.0
순위,2,1.0
포럼,2,1.0
당분간,2,0.3333
비영리,2,1.0
지적,2,-0.2
커뮤니케이션,2,1.0
피펫,2,1.0
방켄,2,1.0
칼마르,2,1.0
감봉,2,1.0
장량,2,1.0
리더십,2,1.0
충전기,2,0.0
가속,2,1.0
알란,2,1.0
적응,2,1.0
진정,2,1.0
주조,2,1.0
희망,2,0.3333
인셉트,2,1.0
배송,2,1.0
물티슈,2,-0.2
철회,2,1.0
텍사스,2,0.3333
캡맨,2,1.0
멧소,2,1.0
지중해,2,1.0
인터,2,1.0
프레이,2,1.0
분양,2,0.3333
완벽하다,2,1.0
종료,2,-0.5
광학,2,1.0
우스,2,0.3333
가시,2,1.0
부수,2,1.0
블록,2,1.0
납품량,2,1.0
속도,2,1.0
프리미엄,2,1.0
건조하다,2,1.0
평방미터,2,1.0
개척,2,1.0
코펜하겐,2,1.0
제조업,2,1.0
리지,2,0.3333
부하,2,1.0
피트,2,1.0
사르,2,1.0
실리,2,1.0
바탕,2,1.0
제네시스,2,1.0
북아프리카,2,1.0
방향,2,1.0
크레디트,2,1.0
요키,2,1.0
완성,2,1.0
첨단,2,1.0
디젤,2,1.0
잡지,2,0.3333
오후,2,-0.6
추구,2,0.3333
공고,2,-0.2
컨설턴트,2,0.3333
주식시장,2,1.0
아주,1,1.0
베이스,1,1.0
사국,1,1.0
비비,1,1.0
프랑,1,1.0
만큼,1,1.0
학과,1,1.0
동료,1,1.0
우선주,1,1.0
학장,1,1.0
피츠제럴드,1,1.0
즐기다,1,1.0
음악,1,1.0
획기,1,1.0
요약,1,1.0
포홀,1,1.0
협업,1,1.0
작품,1,1.0
위씨,1,1.0
가게,1,0.0
웹사이트,1,1.0
영감,1,1.0
감정,1,1.0
표현,1,1.0
임무,1,1.0
공학,1,1.0
복구,1,1.0
넣다,1,1.0
캔버스,1,1.0
들어서다,1,1.0
호우,1,1.0
상수도,1,1.0
사랑스럽다,1,1.0
느낌,1,1.0
무소마,1,1.0
위드,1,1.0
모르다,1,1.0
환경보호,1,1.0
양국,1,1.0
전자통신,1,1.0
로리,1,1.0
학생,1,1.0
존재,1,1.0
자랑,1,1.0
부각,1,1.0
청정,1,1.0
앤빅,1,1.0
스페셜,1,1.0
노야,1,-0.3333
조성,1,1.0
깨끗하다,1,1.0
본부장,1,1.0
공항,1,1.0
정당,1,1.0
만들어지다,1,1.0
티카,1,-0.5
감지,1,0.0
미트,1,1.0
수직,1,1.0
탐지,1,0.0
아이팟,1,1.0
애플,1,0.0
액세스,1,1.0
선장,1,1.0
카르스트,1,1.0
매킨토시,1,1.0
윈도우,1,1.0
지방법원,1,1.0
여객선,1,-0.5
재판소,1,1.0
아이튠,1,1.0
기각,1,1.0
티비,1,1.0
커넥,1,1.0
시흐보,1,1.0
페인트,1,1.0
정교하다,1,1.0
하시넨,1,1.0
넬리,1,1.0
경유,1,1.0
제한,1,1.0
원료,1,1.0
소파,1,1.0
도링,1,1.0
도착,1,0.0
장담,1,1.0
총회,1,0.0
자유,1,1.0
톰톰,1,1.0
스캔,1,-0.8571
아름답다,1,1.0
나폴리,1,1.0
사료,1,1.0
