단어,빈도,점수,빈도정규화,유사도점수,최종점수
선두,8,0.7778,0.22580644432882438,0.7,0.6518
발트해,8,0.0667,0.22580644432882438,0.6022799948538934,0.2056
화학,8,1.0,0.22580644432882438,0.76,0.7972
크게,8,0.2308,0.22580644432882438,0.7,0.3236
자사,8,0.7778,0.22580644432882438,0.76,0.6638
지멘스,8,0.6,0.22580644432882438,1.0,0.6052
수출,8,0.4545,0.22580644432882438,1.0,0.5179
아연,8,1.0,0.22580644432882438,0.7,0.7852
작년,8,0.4545,0.22580644432882438,0.7,0.4579
여전하다,8,0.7778,0.22580644432882438,0.76,0.6638
이후,8,0.1429,0.22580644432882438,0.76,0.2829
이러하다,7,0.4,0.19354838085327802,0.76,0.4307
집중,7,1.0,0.19354838085327802,0.76,0.7907
방법,7,0.75,0.19354838085327802,1.0,0.6887
예측,7,0.75,0.19354838085327802,0.76,0.6407
상반기,7,-0.5882,0.19354838085327802,0.76,-0.1622
영향,7,-0.3333,0.19354838085327802,1.0,0.0387
안정,7,1.0,0.19354838085327802,0.76,0.7907
엘코텍,7,0.0769,0.19354838085327802,0.76,0.2368
종이,7,0.5556,0.19354838085327802,0.76,0.5241
일환,7,0.75,0.19354838085327802,0.76,0.6407
선박,7,0.4,0.19354838085327802,0.76,0.4307
노하우,7,1.0,0.19354838085327802,1.0,0.8387
바이,7,0.5556,0.19354838085327802,0.8659450359153201,0.5453
교통,7,0.4,0.19354838085327802,0.6666500000000001,0.412
스토,7,0.0,0.19354838085327802,0.586779677415975,0.1561
무선,7,1.0,0.19354838085327802,0.76,0.7907
다시,7,1.0,0.19354838085327802,0.7,0.7787
비바,7,0.75,0.19354838085327802,0.76,0.6407
오픈,7,1.0,0.19354838085327802,0.76,0.7907
그것,7,0.0769,0.19354838085327802,0.76,0.2368
스타,7,0.75,0.19354838085327802,0.9134470101675165,0.6714
폰세,7,0.75,0.19354838085327802,1.0,0.6887
유통,7,1.0,0.19354838085327802,1.0,0.8387
회장,7,0.75,0.19354838085327802,0.76,0.6407
여러,7,1.0,0.19354838085327802,1.0,0.8387
케미,7,0.4,0.19354838085327802,0.76,0.4307
임대,7,0.75,0.19354838085327802,1.0,0.6887
가져오다,7,1.0,0.19354838085327802,0.76,0.7907
실리콘,7,0.75,0.19354838085327802,1.0,0.6887
인하다,7,-0.4167,0.19354838085327802,0.7,-0.0713
접근,7,0.75,0.19354838085327802,1.0,0.6887
북유럽,7,0.75,0.19354838085327802,0.76,0.6407
맞추다,7,1.0,0.19354838085327802,0.47167232674206244,0.733
추산,7,0.2727,0.19354838085327802,0.76,0.3543
수입,7,0.1667,0.19354838085327802,0.76,0.2907
화물,7,0.5556,0.19354838085327802,1.0,0.5721
회원,7,0.75,0.19354838085327802,0.76,0.6407
텔리아소네라,7,1.0,0.19354838085327802,1.0,0.8387
운송,7,0.5556,0.19354838085327802,0.7,0.5121
들다,7,0.1667,0.19354838085327802,1.0,0.3387
구매,7,0.5556,0.19354838085327802,1.0,0.5721
해주다,7,0.75,0.19354838085327802,0.76,0.6407
오전,7,0.4,0.19354838085327802,0.76,0.4307
협정,7,1.0,0.19354838085327802,0.76,0.7907
인쇄,7,0.1667,0.19354838085327802,1.0,0.3387
오일,7,1.0,0.19354838085327802,0.76,0.7907
스폰다,7,1.0,0.19354838085327802,0.76,0.7907
이르다,7,0.75,0.19354838085327802,0.76,0.6407
바이오,7,0.2727,0.19354838085327802,0.9121104850053964,0.3848
평균,6,0.7143,0.1612903173777317,1.0,0.6608
재활용,6,0.7143,0.1612903173777317,0.7778000000000002,0.6164
엔소,6,0.0,0.1612903173777317,0.76,0.1843
시장점유율,6,0.5,0.1612903173777317,0.65,0.4623
사용자,6,0.2,0.1612903173777317,0.76,0.3043
협회,6,0.7143,0.1612903173777317,0.76,0.6128
라트비아,6,0.2,0.1612903173777317,0.76,0.3043
국내,6,0.3333,0.1612903173777317,0.76,0.3842
자신,6,0.5,0.1612903173777317,1.0,0.5323
인프라,6,1.0,0.1612903173777317,0.76,0.7843
라이선스,6,0.7143,0.1612903173777317,0.928575,0.6466
강세,6,0.3333,0.1612903173777317,0.76,0.3842
조달,6,0.5,0.1612903173777317,0.76,0.4843
구조조정,6,0.3333,0.1612903173777317,0.49136326715466094,0.3305
발생,6,0.0,0.1612903173777317,1.0,0.2323
올비,6,0.7143,0.1612903173777317,0.76,0.6128
완전하다,6,1.0,0.1612903173777317,0.76,0.7843
웨어,6,0.7143,0.1612903173777317,0.40344981978985056,0.5415
열다,6,1.0,0.1612903173777317,0.76,0.7843
바스,6,0.7143,0.1612903173777317,0.7,0.6008
물류,6,0.7143,0.1612903173777317,0.76,0.6128
파이,6,0.3333,0.1612903173777317,0.7216294557539051,0.3766
애플리케이션,6,1.0,0.1612903173777317,1.0,0.8323
인상,6,0.3333,0.1612903173777317,0.76,0.3842
에르,6,0.7143,0.1612903173777317,1.0,0.6608
전자제품,6,0.0909,0.1612903173777317,0.76,0.2388
리프,6,1.0,0.1612903173777317,0.3333,0.6989
마리,6,0.5,0.1612903173777317,-0.2,0.2923
섬유,6,0.5,0.1612903173777317,1.0,0.5323
히트,6,0.5,0.1612903173777317,0.76,0.4843
선택,6,1.0,0.1612903173777317,0.76,0.7843
에스컬레이터,6,1.0,0.1612903173777317,1.0,0.8323
케스코,6,1.0,0.1612903173777317,1.0,0.8323
기여,6,1.0,0.1612903173777317,0.76,0.7843
네트웍,6,0.7143,0.1612903173777317,0.76,0.6128
백화점,6,0.7143,0.1612903173777317,0.76,0.6128
스카,6,1.0,0.1612903173777317,1.0,0.8323
독일,6,0.3333,0.1612903173777317,0.76,0.3842
실현,6,1.0,0.1612903173777317,0.76,0.7843
향후,6,1.0,0.1612903173777317,0.76,0.7843
화요일,6,0.5,0.1612903173777317,0.76,0.4843
개국,6,1.0,0.1612903173777317,0.76,0.7843
최고경영자,6,0.5,0.1612903173777317,0.35,0.4023
범위,6,0.7143,0.1612903173777317,0.7143,0.6037
해상,6,0.7143,0.1612903173777317,1.0,0.6608
니켈,6,0.7143,0.1612903173777317,0.76,0.6128
목적,6,1.0,0.1612903173777317,0.76,0.7843
환경,6,0.5,0.1612903173777317,1.0,0.5323
결합,6,1.0,0.1612903173777317,1.0,0.8323
가공,6,0.5,0.1612903173777317,1.0,0.5323
웨이퍼,6,0.7143,0.1612903173777317,0.76,0.6128
역량,6,1.0,0.1612903173777317,0.76,0.7843
피스,6,1.0,0.1612903173777317,0.76,0.7843
가능성,6,0.7143,0.1612903173777317,0.6666500000000001,0.5942
마진,6,0.5,0.1612903173777317,0.76,0.4843
트리,6,1.0,0.1612903173777317,0.8158851943513141,0.7954
선정,6,1.0,0.1612903173777317,0.76,0.7843
쇼핑,6,1.0,0.1612903173777317,1.0,0.8323
혁신,6,1.0,0.1612903173777317,0.76,0.7843
런던,6,0.5,0.1612903173777317,0.76,0.4843
전화,6,1.0,0.1612903173777317,0.8361075720009838,0.7995
소비자,6,0.3333,0.1612903173777317,0.8771615773402104,0.4077
투자자,6,0.0909,0.1612903173777317,0.76,0.2388
초점,6,1.0,0.1612903173777317,0.76,0.7843
자원,6,0.7143,0.1612903173777317,1.0,0.6608
맞춤,6,1.0,0.1612903173777317,0.76,0.7843
휴대,6,1.0,0.1612903173777317,0.6,0.7523
물량,6,0.7143,0.1612903173777317,1.0,0.6608
상향,6,1.0,0.1612903173777317,0.7,0.7723
덧붙이다,6,0.0,0.1612903173777317,0.76,0.1843
높이,6,1.0,0.1612903173777317,1.0,0.8323
푸다,6,1.0,0.1612903173777317,0.76,0.7843
분소,6,0.7143,0.1612903173777317,0.76,0.6128
신뢰,6,1.0,0.1612903173777317,0.76,0.7843
바르다,6,1.0,0.1612903173777317,0.76,0.7843
금요일,6,0.7143,0.1612903173777317,1.0,0.6608
약간,6,0.2,0.1612903173777317,1.0,0.3523
다만,6,0.5,0.1612903173777317,0.76,0.4843
모델,6,0.7143,0.1612903173777317,1.0,0.6608
라우트,6,0.7143,0.1612903173777317,0.43852697038620736,0.5485
지도,5,1.0,0.12903225390218534,0.76,0.7778
동부,5,1.0,0.12903225390218534,1.0,0.8258
마감,5,-0.2308,0.12903225390218534,1.0,0.0873
무역,5,0.1111,0.12903225390218534,0.76,0.2445
항공,5,0.1111,0.12903225390218534,0.43362553039419277,0.1792
린덱스,5,1.0,0.12903225390218534,0.76,0.7778
완료,5,0.6667,0.12903225390218534,0.76,0.5778
생각,5,0.6667,0.12903225390218534,0.76,0.5778
지식,5,1.0,0.12903225390218534,0.76,0.7778
마이너스,5,-0.1667,0.12903225390218534,1.0,0.1258
소비,5,0.6667,0.12903225390218534,0.6998771603177167,0.5658
상품,5,0.6667,0.12903225390218534,0.76,0.5778
컨테이너,5,0.6667,0.12903225390218534,0.76,0.5778
정부,5,1.0,0.12903225390218534,0.76,0.7778
발주,5,1.0,0.12903225390218534,1.0,0.8258
용지,5,0.4286,0.12903225390218534,0.76,0.435
목요일,5,0.4286,0.12903225390218534,0.76,0.435
이어지다,5,0.4286,0.12903225390218534,0.5143,0.3858
낮다,5,-0.2308,0.12903225390218534,0.76,0.0393
전기,5,0.6667,0.12903225390218534,0.0,0.4258
리스,5,1.0,0.12903225390218534,0.7855409492228608,0.7829
비슷하다,5,0.6667,0.12903225390218534,0.76,0.5778
취급,5,0.4286,0.12903225390218534,1.0,0.483
합리화,5,1.0,0.12903225390218534,0.76,0.7778
최종,5,1.0,0.12903225390218534,0.76,0.7778
관심,5,1.0,0.12903225390218534,1.0,0.8258
부의,5,0.25,0.12903225390218534,0.76,0.3278
지방,5,1.0,0.12903225390218534,1.0,0.8258
멕시코,5,1.0,0.12903225390218534,0.76,0.7778
세금,5,-0.0909,0.12903225390218534,0.7,0.1113
광산,5,0.4286,0.12903225390218534,0.76,0.435
밉다,5,0.6667,0.12903225390218534,0.76,0.5778
탈린,5,0.4286,0.12903225390218534,1.0,0.483
타마,5,1.0,0.12903225390218534,0.76,0.7778
보도자료,5,1.0,0.12903225390218534,0.47724999999999995,0.7213
기르다,5,1.0,0.12903225390218534,0.76,0.7778
덕분,5,0.6667,0.12903225390218534,0.76,0.5778
기회,5,1.0,0.12903225390218534,0.76,0.7778
사람,5,0.1111,0.12903225390218534,0.76,0.2445
카자흐스탄,5,1.0,0.12903225390218534,0.76,0.7778
제작,5,1.0,0.12903225390218534,0.76,0.7778
전반,5,0.6667,0.12903225390218534,0.76,0.5778
간의,5,1.0,0.12903225390218534,0.76,0.7778
가정,5,1.0,0.12903225390218534,1.0,0.8258
상황,5,-0.2308,0.12903225390218534,0.76,0.0393
낸셜,5,0.25,0.12903225390218534,1.0,0.3758
합작,5,1.0,0.12903225390218534,0.76,0.7778
모스크바,5,1.0,0.12903225390218534,0.76,0.7778
인터넷,5,0.4286,0.12903225390218534,1.0,0.483
컨설팅,5,0.6667,0.12903225390218534,0.76,0.5778
거두다,5,1.0,0.12903225390218534,0.76,0.7778
언급,5,0.6667,0.12903225390218534,0.76,0.5778
온라인,5,1.0,0.12903225390218534,0.7,0.7658
미래,5,0.6667,0.12903225390218534,0.76,0.5778
국영,5,1.0,0.12903225390218534,0.7,0.7658
끌다,5,0.6667,0.12903225390218534,0.0,0.4258
허가,5,1.0,0.12903225390218534,0.7,0.7658
대변인,5,1.0,0.12903225390218534,0.76,0.7778
아웃,5,1.0,0.12903225390218534,1.0,0.8258
살다,5,0.6667,0.12903225390218534,0.76,0.5778
도시,5,1.0,0.12903225390218534,0.76,0.7778
앞서,5,0.4286,0.12903225390218534,1.0,0.483
음성,5,1.0,0.12903225390218534,0.76,0.7778
시오,5,1.0,0.12903225390218534,0.76,0.7778
디지털,5,1.0,0.12903225390218534,1.0,0.8258
시스,5,1.0,0.12903225390218534,1.0,0.8258
테크놀로지,5,0.6667,0.12903225390218534,0.7033035333393486,0.5665
수오미,5,-0.0909,0.12903225390218534,1.0,0.1713
당사자,5,1.0,0.12903225390218534,1.0,0.8258
역할,5,1.0,0.12903225390218534,0.76,0.7778
베다,5,0.1111,0.12903225390218534,0.76,0.2445
내비게이션,5,1.0,0.12903225390218534,0.76,0.7778
마르텔,5,0.6667,0.12903225390218534,0.76,0.5778
상당,5,1.0,0.12903225390218534,0.5,0.7258
포이,5,1.0,0.12903225390218534,1.0,0.8258
광범위하다,5,1.0,0.12903225390218534,0.7143,0.7687
완공,5,0.6667,0.12903225390218534,0.7,0.5658
보드,5,1.0,0.12903225390218534,1.0,0.8258
컨센서스,5,1.0,0.12903225390218534,1.0,0.8258
폴란드,5,0.6667,0.12903225390218534,0.40755521841193265,0.5073
넘어서다,5,1.0,0.12903225390218534,0.76,0.7778
통신사,5,1.0,0.12903225390218534,0.76,0.7778
사인,5,0.4286,0.12903225390218534,0.76,0.435
필요하다,5,0.1111,0.12903225390218534,0.76,0.2445
작업,5,0.4286,0.12903225390218534,0.76,0.435
디지다,5,1.0,0.12903225390218534,0.29523333333333335,0.6849
양호,5,0.6667,0.12903225390218534,0.76,0.5778
보장,5,1.0,0.12903225390218534,0.7,0.7658
송장,5,1.0,0.12903225390218534,0.76,0.7778
영역,5,1.0,0.12903225390218534,0.76,0.7778
부품,5,1.0,0.12903225390218534,1.0,0.8258
전송,5,1.0,0.12903225390218534,0.7,0.7658
마케팅,5,0.4286,0.12903225390218534,0.76,0.435
설계,5,0.6667,0.12903225390218534,0.76,0.5778
항구,5,0.25,0.12903225390218534,0.76,0.3278
아프리카,5,1.0,0.12903225390218534,1.0,0.8258
불구,5,1.0,0.12903225390218534,0.76,0.7778
해외,5,0.4286,0.12903225390218534,0.76,0.435
티아,5,0.6667,0.12903225390218534,1.0,0.6258
옥메,5,0.4286,0.12903225390218534,0.76,0.435
개인,5,0.6667,0.12903225390218534,1.0,0.6258
게다가,5,0.25,0.12903225390218534,0.7,0.3158
진출,5,1.0,0.12903225390218534,1.0,0.8258
동시,5,0.6667,0.12903225390218534,0.76,0.5778
옵션,5,1.0,0.12903225390218534,0.76,0.7778
부분,5,0.4286,0.12903225390218534,0.1429,0.3115
오리온,5,0.25,0.12903225390218534,1.0,0.3758
퍼센트,5,0.4286,0.12903225390218534,1.0,0.483
수확,5,1.0,0.12903225390218534,0.76,0.7778
생산량,5,0.1111,0.12903225390218534,0.76,0.2445
메코,5,0.4286,0.12903225390218534,1.0,0.483
보이,5,1.0,0.12903225390218534,0.73075,0.772
자동화,5,0.4286,0.12903225390218534,0.7310200051461065,0.4292
베트남,4,1.0,0.09677419042663901,0.76,0.7714
준비,4,0.6,0.09677419042663901,0.76,0.5314
갖추다,4,1.0,0.09677419042663901,0.47167232674206244,0.7137
주하,4,1.0,0.09677419042663901,0.76,0.7714
나은,4,0.6,0.09677419042663901,0.76,0.5314
독점,4,1.0,0.09677419042663901,1.0,0.8194
도구,4,1.0,0.09677419042663901,0.76,0.7714
높아지다,4,1.0,0.09677419042663901,0.5143,0.7222
구현,4,1.0,0.09677419042663901,0.76,0.7714
주인,4,0.3333,0.09677419042663901,0.76,0.3713
라모,4,0.6,0.09677419042663901,0.76,0.5314
중남미,4,1.0,0.09677419042663901,1.0,0.8194
핸들링,4,1.0,0.09677419042663901,1.0,0.8194
삼포,4,0.1429,0.09677419042663901,0.76,0.2571
업계,4,0.6,0.09677419042663901,0.76,0.5314
루마니아,4,1.0,0.09677419042663901,1.0,0.8194
매장,4,0.3333,0.09677419042663901,0.76,0.3713
광고,4,0.6,0.09677419042663901,0.7,0.5194
생명보험,4,1.0,0.09677419042663901,0.1988301750640428,0.6591
포장,4,0.3333,0.09677419042663901,0.7,0.3593
늘어나다,4,1.0,0.09677419042663901,0.6,0.7394
철도,4,0.6,0.09677419042663901,0.7,0.5194
스칸디나비아,4,1.0,0.09677419042663901,1.0,0.8194
교량,4,1.0,0.09677419042663901,0.76,0.7714
가능하다,4,0.3333,0.09677419042663901,0.8847343864860396,0.3963
득점,4,1.0,0.09677419042663901,0.76,0.7714
오스트리아,4,1.0,0.09677419042663901,0.6815317534881374,0.7557
부서,4,0.3333,0.09677419042663901,0.76,0.3713
반면,4,0.1429,0.09677419042663901,0.76,0.2571
연속,4,0.6,0.09677419042663901,0.76,0.5314
이용,4,0.6,0.09677419042663901,0.76,0.5314
부채,4,1.0,0.09677419042663901,0.76,0.7714
해운,4,1.0,0.09677419042663901,1.0,0.8194
상업,4,1.0,0.09677419042663901,0.76,0.7714
배당금,4,1.0,0.09677419042663901,1.0,0.8194
단말기,4,1.0,0.09677419042663901,1.0,0.8194
자산,4,0.6,0.09677419042663901,0.0,0.3794
환영,4,1.0,0.09677419042663901,0.7,0.7594
상태,4,0.0,0.09677419042663901,1.0,0.2194
주력,4,1.0,0.09677419042663901,1.0,0.8194
단계,4,1.0,0.09677419042663901,0.76,0.7714
자리,4,1.0,0.09677419042663901,0.3,0.6794
프로,4,1.0,0.09677419042663901,1.0,0.8194
아파트,4,0.6,0.09677419042663901,1.0,0.5794
의미,4,0.6,0.09677419042663901,1.0,0.5794
재료,4,1.0,0.09677419042663901,0.76,0.7714
로스,4,1.0,0.09677419042663901,1.0,0.8194
케이블,4,1.0,0.09677419042663901,0.76,0.7714
맞다,4,1.0,0.09677419042663901,0.76,0.7714
텔레콤,4,1.0,0.09677419042663901,0.9022956466763996,0.7998
가스,4,0.6,0.09677419042663901,0.7656854249492381,0.5325
수요일,4,1.0,0.09677419042663901,0.3846,0.6963
증명,4,1.0,0.09677419042663901,0.76,0.7714
다음,4,1.0,0.09677419042663901,0.76,0.7714
베이징,4,1.0,0.09677419042663901,0.95813909936243,0.811
알려지다,4,0.6,0.09677419042663901,0.5143,0.4822
조건,4,0.6,0.09677419042663901,1.0,0.5794
킬로미터,4,0.6,0.09677419042663901,1.0,0.5794
