날짜,제목,닉네임,종목,게시글,댓글수,조회수,공감,비공감,게시글내용,댓글
2025.06.25 14:12,결국 나락이야,yje8****,377300,305072951,1,91,3,5,세겨들어라,
2025.06.25 14:12,역시 오늘종가,ns******,377300,305072947,1,135,1,1,115000 원,10만원만 안착해도 좋다
2025.06.25 14:12,"어느정도 재료인지 모르시네,,,",mtoy****,377300,305072938,3,104,2,1,"&$```
카카오페이 일찍 팔면 땅을치고 후회할 종목이라 분석 끝내드렸고 한번 수익보고 끝날 종목 아니라 계속 시세 분출하면서 추가 수익 노려볼 녀석이니 브리핑 남겨드린대로 대응해주시면되세요!
안녕하세요.. 저는 서울대 경제학부를 졸업하고 현재는 휴식중인 30대 보통 남성입니다.. 운좋게 이름만 들으면 알만한 대기업에 취업했지만 2년만에 퇴직하고 온종일 매매만 하고있네요,,,직장에서 눈치 보며 매매하며 보던 수익이 월급의 두배였고 인생은 선택이라는데 아직까지 후회는 없습니다^^길게 말씀 안드리고 하락장은 저점에서 쓸어 담을 기회라고 말씀드리면서 방 분들과 진입했던 스맥+23% 오텍+21% 딥마인드+15% 수익 챙겨드렸구요!카카오페이 잠깐 눌림 구간 나와도, 저점부터 들고가는 종목이라 모든 대응해드리니 편히 따라오시면 됩니다^^
손실종목 진단 및 대응은 물론, 시장이 어떻든, 꾸준하고 안정적인 수익 보여드리고 결과로 증명해드릴테니 딱 2~3일만 지켜봐도 좋습니다. 제가 어떻게 수익 내는지, 그리고 어떻게 책임감 있게 뱉은 말을 지켜내고 결과로 증명하는지. 직접 확인하시고, 계좌로 찍어가실분들은 텔ㄹH.G렘 <호재우산> 치`고 오세요!
%@
`````",ㄲㅓㅈㅕ | 지난주도 크게 먹었는데 오늘 수익 진짜 감사했습니다 이번주도 잘부탁드립니다^^ | 이분은 분석도 바로 해주면서 수익도 꾸준해서 계속 여기만보는중
2025.06.25 14:12,오르기만 혀,kgsp****,377300,305072918,0,45,0,0,조금이라도 오른거에 만족,
2025.06.25 14:12,내말대로,fore****,377300,305072902,0,41,1,1,"흘러간다ㅎㅎ
10 이상에서 마무리
내일 12이상
끝 수고",
2025.06.25 14:12,죽고싶다,ocs1****,377300,305072889,1,99,0,1,11만원 3억,30만원 손절햐~~~~!!
2025.06.25 14:12,씨보레,dece****,377300,305072887,0,20,0,0,장난치냐??ㅎㅎㅎ,
2025.06.25 14:11,텨라,hong****,377300,305072876,0,20,0,0,앨 단일가,
2025.06.25 14:11,화끈하게,busc****,377300,305072832,1,58,1,0,"화끈하게 올리고
문닫고 쉬자 비바람 불어서 춥다",가스 떼세요 ㅎㅎ
2025.06.25 14:11,주식장이 안좋으니 설겆이가 난무하는구먼,arde****,377300,305072823,0,22,0,0,적당히들 좀 하자,
2025.06.25 14:11,9만,tjda****,377300,305072819,0,34,3,0,원때 오늘 마지막,
2025.06.25 14:11,너네 다 살라면 10만원 깨야하냐?,zmfo****,377300,305072815,0,45,0,0,98층만 유지되면 좋을텐데,
2025.06.25 14:11,괜히팔았네ㅠ,ari0****,377300,305072812,0,67,1,0,",",
2025.06.25 14:11,와~~,leej****,377300,305072804,0,23,1,0,장난 아니네 못들어가겠다.,
2025.06.25 14:11,뱅크로 튀셔요.,tk******,377300,305072797,1,30,0,0,세력 페이에서 뱅크로 손바꿈중,뱅크도 똑같구만 ㅋㅋㅋ
2025.06.25 14:11,하 떨어지길래 97500팔았는데 털린거냐...,seau****,377300,305072783,0,38,1,0,하,
2025.06.25 14:10,2억 11층,qwea****,377300,305072753,0,39,0,0,구조되나요,
2025.06.25 14:10,드간넘들,yje8****,377300,305072731,0,28,0,1,"다 물렸다
그리 알려줘도.. 쯧",
2025.06.25 14:10,코스피 레버리지,skyu****,377300,305072690,1,33,2,0,"조작..

민주당 테마주 만세",투기장 투기장 이재명이를 잘못뽀앗어
2025.06.25 14:10,증권가 뷰! TP=13만원으로 UP,jgsu****,377300,305072656,0,50,0,0,"NH투자증권은 25일 카카오페이에 대해 원화 스테이블코인도입 가능성에 대비하여 발빠르게 움직일 것으로 추측한다며 목표주가를 13만 원으로 기존(3만8000원) 대비 242% 상향 조정했다.

윤유동 NH투자증권 연구원은 ""카카오페이는 핀테크 산업 내 변화에 민첩하게 대응해온 사업자""라며 ""카카오그룹 내 메신저, 은행, 증권 플랫폼 등을 보유한 이점을 누릴 수 있는 수혜주""라고 말했다.

윤 연구원은 목표주가 상향과 관련 ""국내 대표 핀테크 기업으로서 스테이블코인의 발행, 유통 등 다방면으로 사업 검토해볼 가능성 높다""며 ""마이데이터 서비스를 제공하고 있고 중앙은행 디지털 화폐(CBDC) 개발에 참여한 이력이 있으며, 카카오의 AI 에이전트 개발 프로젝트에 금융부문 연동 논의 등 산업 내 변곡점마다 적극적으로 사업 진행했다""고 분석했다.

이어 ""만약 스테이블코인을 직접 발행한다면 카카오 생태계 내에서의 쓰임새가 높을 것은 쉽게 추측할 수 있다""며 게다가 적극적인 마케팅을 통해 카카오페이머니를 소비자들의 실생활에 침투시킨 성공경험도 보유하고 있어 초반 선점효과를 기대할 수 있다""고 평가했다.

그는 ""유통에 중점을 두면 동사가 국내외로 보유한 100만개 이상의 가맹점에서 활용 가능하다""면서도 ""카카오그룹의 확고한 브랜드 파워를 유지하기 위해 타사보다는 자사의 스테이블코인만 유통시킬 가능성이 높을 것""이라고 내다봤다.

목표주가 상향과 관련해서는 ""밸류에이션을 통해 각 사업부별로 유사한 서비스를 제공하는 해외사 기업가치와 비교했다""며 ""결제부문은 스테이블코인 도입 및 발행사업을 가정한 추정치 반영 후, 페이팔, 서클의 2026년 평균 PER에서 50% 할인 적용했다""고 설명했다.",
2025.06.25 14:10,프로그램 매도 더이상 안나오네 엔꼬냐?,roya****,377300,305072648,0,36,1,0,"프로그램 매도 더이상 안나오네
엔꼬냐?
대차수량 다 떨오졌나보네
매수하는만큼 올라가네 이제

털린 개미 손~~

20만원까지 존버",
2025.06.25 14:10,진심 싹 털렸다.,dltn****,377300,305072641,0,51,1,0,개 멋지네,
2025.06.25 14:10,오늘 다털고 다시 급상승,13******,377300,305072638,0,32,2,0,전고점 돌파 금방이닷,
2025.06.25 14:09,부즈엉 부즈엉 신나는 노래~나도 한번 불...,bb******,377300,305072586,0,24,0,1,"미시간 26일 오전11시
한시간 27일 오전12시~
내셔날프레스클럽
워터파크 개장예정~
ㅋㅋㅋ",
2025.06.25 14:09,소방관입니다,tkdd****,377300,305072583,1,66,0,1,구출하러왔어요 어디계시나요,저 위에 타워팰리스 부터 구해주세요
2025.06.25 14:09,개미털기에 나가떨어진,dlsc****,377300,305072557,3,106,7,0,심약 개흑우 개미들 있는가?ㅋㅋ,저도 95000원 나갈뻔 했네요 휴~ | 나 심약개미 털릴뻔 | 다털렸지ㅋㄱㅋㅋ학습된효과 카페 물리믄잣댄다는거ㅋㄱㄲ
2025.06.25 14:09,지금 개미털기중,soja****,377300,305072530,0,39,1,1,물량 뺏기면 안됨!!!,
2025.06.25 14:08,장기적으로 30만원 (네이버 기준)간다....,with****,377300,305072402,1,110,2,2,,
2025.06.25 14:08,하 털렸다,jdw1****,377300,305072399,1,134,4,1,ㅜㅜㅜㅜ 무거운 마음이 털렸다 휴,ㅋㅋㅋㅋㅋㅋㅋㅋ
2025.06.25 14:12,하 털렸다,kkjj****,377300,305072913,0,3,0,0,"참을성이 없어서
나도",
2025.06.25 14:07,美써클 스테이블코인 '1300조 탄소배출...,roya****,377300,305072361,0,99,2,0,"美써클 스테이블코인 '1300조 탄소배출권 시장'에 활용…韓도 추진 중

[파이낸셜뉴스] 글로벌 스테이블코인 발행사 써클(Circle)이 운영하는 USDC(미국 달러 연동 스테이블코인)가 실제 탄소배출권 거래 결제 수단으로 사용되면서, 디지털 자산이 세계적인 온실가스 감축 시장과 접점을 넓히고 있다. 이는 실물자산들의 토큰화와 밀접 관련이 있다.

이는 실물 자산들을 블록체인 상에서 디지털 토큰 형태로 전환하는 ‘토큰화(tokenization)’ 기술과 밀접하게 관련돼 있다.

25일 블록체인업계에 따르면 토큰화는 실제 존재하는 자산(예: 탄소배출권, 미술품, 금 등)을 블록체인 상에 고유한 디지털 단위로 변환해 거래 가능하도록 만드는 기술로, 자산의 유동성과 접근성을 높이고 분산 원장 기반의 투명한 정산 및 추적을 가능케 한다. USDC는 이러한 토큰화된 탄소배출권과 결합해 디지털 환경에서도 신뢰 가능한 결제 수단으로 기능하고 있는 것이다.

현재 미국에서는 Carbonmark, Toucan Protocol 등을 통해 USDC로 탄소배출권을 즉시 구매·소각(retire)하거나 결제·정산할 수 있다. 이는 디지털 자산이 단순한 투자 대상이 아닌, 환경·기후금융의 실물 결제 인프라로서 실현되고 있는 대표 사례다.

국제시장 분석기관 리피니티브(Refinitiv)와 S&P글로벌(S&P Global)의 최근 발표에 따르면, 2023년 전 세계 탄소배출권 시장 규모는 약 9490억 달러(한화 약 1300조)로 추산된다.

이는 불과 5년 전인 2019년 2200억 달러에서 4배 이상 성장한 수치다. 최근 들어 이 거대한 시장에서 스테이블코인을 활용한 거래 실증이 가시화되고 있으며, 미국 뿐만 아니라 일본(JPYC), 호주(A$DC), 싱가포르(XSGD) 등도 탄소배출권과 디지털 결제 수단을 연계한 실험에 나서고 있다. 심지어 중국은 탄소배출권을 ‘물권에 준하는 담보 자산’으로 인정, 실제 금융기관에서 담보 자산으로 활용된 이력도 있다.

이와 같은 흐름은 한국에도 확산되고 있다.

현 정부는 디지털자산거래소 설립과 원화 기반 스테이블코인 발행을 준비 중이며, 이를 기반으로 RWA(실물자산 토큰화) 생태계 조성을 추진하고 있다. 특히 RWA의 핵심 자산군으로 탄소배출권, 미술품, 금 등이 거론되고 있으며, 이 중 탄소배출권은 ESG 정책, 정부 주도 ETS 운영 등과 직접적으로 연계되면서 가장 상업화 가능성이 높은 분야로 평가받고 있다.

전문가들은 “스테이블코인은 기존 금융과 디지털 자산 시장을 잇는 결제 인프라로, 특히 탄소배출권처럼 실물 기반이 강한 자산군에서 빠르게 확산될 가능성이 높다”며 “한국 역시 탄소배출권을 포함한 RWA 시장 확대를 통해 디지털 탄소금융의 중심지로 도약할 기회를 맞고 있다”고 분석했다.

국내 금융기관들도 탄소배출권 펀드, ESG 채권, 블루카본 등 기후금융 상품에 자산을 배분해왔으며, 일부 은행과 증권사는 탄소배출권 시장 진입을 위한 국내외 ETS 연계 플랫폼 및 블록체인 기반 탄소거래 인프라 투자에도 나선 상태다.

한편 탄소배출권은 온실가스를 적게 배출하면 잉여 배출권을 판매해 수익을 얻고, 반대로 과다 배출 시 추가 구매를 통해 비용이 발생하는 구조다. 이에 따라 기업들은 탄소배출권 시장이 더욱 활성화 될 시 배출량을 줄이기 위한 전략적 선택으로 CCS(탄소포집저장) 및 CCUS(탄소포집·활용·저장) 기술에 대한 투자를 확대할 것으로 보인다.

#탄소배출권 #스테이블코인 #USDC #써클",
2025.06.25 14:07,가즈아,myle****,377300,305072358,0,31,2,0,다털고 가즈아,
2025.06.25 14:07,10만 돌파하면 뚫린다,jung****,377300,305072336,0,48,2,0,ㄱㄱㄱㄱㄱ,
2025.06.25 14:07,오늘 고점 뚫으러 간데이,lyw1****,377300,305072305,0,70,2,0,미투온 판박이다 백프로다 이거,
2025.06.25 14:07,오늘은 그만하자,bule****,377300,305072257,1,131,2,0,"많이 피곤하다....
오바이트 쏠린다...
그만하자...힘들다...친구야",그만하긴 뭘 그만해 더올라가야지
2025.06.25 14:06,오늘 시외 투자위험확정 공시나온다,bogu****,377300,305072210,1,130,0,0,참조해서 판단하시길,오르는걸 막을순 없지
2025.06.25 14:06,또 올라간다,13******,377300,305072146,0,53,2,0,기다리면 돼,
2025.06.25 14:06,달다 달아,leon****,377300,305072117,0,38,2,0,"믿음이 굳건해진다 !
하한가 칠때까지 홀딩!",
2025.06.25 14:06,털린 흑우 없재?,jwoi****,377300,305072099,0,49,2,0,기다료..,
2025.06.25 14:06,물린다,yje8****,377300,305072092,0,34,0,2,드가지마라,
2025.06.25 14:05,1300조원 탄소배출권 시장 스테이블코인...,roya****,377300,305072054,0,83,2,2,"1300조원 탄소배출권 시장 스테이블코인으로 거래
서클 진출 한국도 스테이블코인으로 한다네요

무궁무진 최소 1000조단위 시장 수십개",
2025.06.25 14:05,ㄱ ㅏ 즈 ㅇ ㅏ ~,kore****,377300,305072052,0,21,2,0,출발 ~,
2025.06.25 14:05,미래가보인다,chhj****,377300,305072037,0,38,1,0,24만원뚫는것이..,
2025.06.25 14:05,괴물이다,hyun****,377300,305072032,0,48,4,0,이 시총에 보합갭 찍고 다시들어올리는건 괴물아니냐..,
2025.06.25 14:05,우와 ㄷㄷ,qudf****,377300,305071980,0,56,2,0,ㅡㅡ,
2025.06.25 14:05,왜이러는지 아는사람,hoye****,377300,305071930,2,219,0,1,,
2025.06.25 14:05,역시 대장은 대장이다,hzhg****,377300,305071923,0,45,1,0,힘쌔,
2025.06.25 14:04,초특급 피뢰침..ㄷㄷ,nice****,377300,305071915,0,43,0,0,"음봉 하락 마감시, 1차적으로 6만원까지.",
2025.06.25 14:04,오후2시다~,79le****,377300,305071911,0,37,1,0,11만원 올려놔라,
2025.06.25 14:04,주식시장 오르는놈만 계속 쳐오른다 ㅋㅋ,rmff****,377300,305071910,1,44,2,0,카카오페이 전재산 올인이다 오늘 15%벌었다 대출받아서 추가매수했다 공매도 박살내자 불법공매도 신한놈들 작살내자,150%이상 수익중입니다 ㅎㅎㅎㅎㅎ이번주는 팔때가 아닌데 말이죠 ㅎㅎ
2025.06.25 14:04,더 떨어질거야,te******,377300,305071893,1,32,0,0,어차피 이제 떨어질 일만 남았어.,더 배아파 할건데 병원예약해둬
2025.06.25 14:03,"분노의 질주, 카카오페이 ! 총 정리",zhfp****,377300,305071753,1,119,0,0,"https://m.blog.naver.com/zhfps117/223894162227

왜 카카오페이는 상승하는가??

총 정리글 입니다.!!!",카카오페이 강한 매수 연속되면 iselect.kr 참고하세요.
2025.06.25 14:03,털린분들 없죠,kwan****,377300,305071699,3,160,3,0,"조금 흔든다고 털리면...
코인 실질적인 대장주~
이걸 왜 파나요?
추매해서 갖고 가면 큰 수익 줄겁니다.
아이티센 글로벌, 아톤 스테이블코인 관년주도 몇배를 올랐는데 아직도 갈길이 멀어요
참고버티세요 크게 수익 내시려면",코인을 사라 ㅋㅋㅋ | 간뎅이를 키우면 부자됨 ㅋㅋㅋ | 심약개미가 많네요 ㅎㅎ
2025.06.25 14:03,개털회사,yje8****,377300,305071652,2,107,0,2,뭐 볼거 있다고 오르니?,4일동안 배아파서 어쩌냐; | 뭐 볼게 있으니 너가 여기 이러고 있겠지??
2025.06.25 14:02,공매도 빨리안갚으면,jg******,377300,305071605,0,74,1,0,"너희들 파산한다
빨리 갚고 떠나라",
2025.06.25 14:02,미 시간 26일 한국시간 27일 12시,bb******,377300,305071586,0,62,0,1,부증엉 발표되면 워터파크 개봉박두,
2025.06.25 14:02,개미,yhsp****,377300,305071549,0,40,1,1,다털었나요? 그럼 달려봐요,
2025.06.25 14:02,● 10만원까지 말아올릴듯 ㅇㅇ,powe****,377300,305071538,0,72,2,1,ㅇㅇ,
2025.06.25 14:02,스테이블코인 테마 소멸,cena****,377300,305071530,2,130,0,1,"거의 확정 아니냐..
캐이우드... 서클주식 전량 매도..
서클 폭락.",per 가 317배 미친거지 | 주식 공부 다시 하셔야 겠어요
2025.06.25 14:01,외인 다시 사네,dltn****,377300,305071453,1,94,0,0,뭐꼬,오늘 물량 털린 분을 심약개미라고 합니다.
2025.06.25 14:01,미치광이 종목이네,mind****,377300,305071423,0,47,0,0,올라가는거봐ㅋㅋㅋㅋㅋ,
2025.06.25 14:01,약속에 2시,kgsp****,377300,305071416,0,42,0,0,고고씽~~~,
2025.06.25 14:00,다들,alaa****,377300,305071319,0,44,1,0,정신들 못처리것죠 ㅋㅋㅋㅋ코인에서 단련들좀하고 오세요 털기,
2025.06.25 13:59,멀미 난다...,ye******,377300,305071161,0,58,0,0,"무빙이 작전주네.. 어지러라..
@.@",
2025.06.25 13:58,안티들 많아지고 있는거 보니,jung****,377300,305071065,0,99,2,1,"또 개미털고 올리려나 보다


몇주 전부터 안티 많아질때 상한가 ㅎㅎ


물량 안털리고 150%이상 잘먹고 있습니다^.^",
2025.06.25 13:58,약속의 2시 말아 올려주세요,sion****,377300,305071032,1,90,0,0,약속의 2시 말아 올려주세요,상승마감이면거래정지다
2025.06.25 13:57,오늘보다 내일이 문제,grac****,377300,305070957,0,125,0,0,"이 추세라면 롱보다 숏 우위.

당분간 숏 숏 숏",
2025.06.25 13:56,퇴근,bule****,377300,305070789,0,69,0,0,"합시다...수고했습니다..
오늘도 즐---",
2025.06.25 13:55,NH투자 애널들 주변 계좌 조사필요,rupi****,377300,305070689,0,97,0,0,,
2025.06.25 13:55,2만원에 일때는 안사고 11만에 산 분들,ntsi****,377300,305070653,0,142,11,1,"5배 6배 최고가에 매수하신 분들
계시면 따봉한번 박아주세요",
2025.06.25 13:54,헐 무섭네,hoor****,377300,305070534,0,101,0,0,닌겐들의 광기,
2025.06.25 13:54,잘~~말아죠오~~~,mind****,377300,305070506,0,66,1,0,"자알~~~눌러죠오~~
옆구리 터진 저 카페처럼~",
2025.06.25 13:53,10만원에 샀는데 환불되나요?,ga******,377300,305070377,2,245,9,0,오전에 산건데 아직 택 안땟어요 환불점여,소액개미와 심약개미는 환불없이 그냥 나가시면 됩니다^^ | 스테이블 관련주는 오늘 원래 폭락 자리인데 얜 개인 매수세가 너무 쎄서 버티는 중 진짜 하락은 내일부터임. 근데 냅둬봐요 20만원가요.
2025.06.25 13:53,후딱 팔던가 비중을 줄이던가 하세요~^^,gaso****,377300,305070297,0,107,3,1,"다음 매수시점 82,000원.
빠지면 손절.
카페이 대주주들도 물들어온때라
노저을려고 계속 상승시킬거임.
대주주들이 여기까지만 먹겠다하면
개미들도 욕심부리지 마삼.
더이상 주가 안오름.",
2025.06.25 13:53,오늘 아침 오전장에 사신분들,kkm8****,377300,305070294,0,101,1,1,"에프킬라 뿌렸습니다
곧 이나 조만간 뒤지실거에요~^^*",
2025.06.25 13:52,2시 쩜상 기대,good****,377300,305070225,2,209,2,0,슈팅 한번 다시 줘라. 아님 말던가.,기대하시라요 | 제발
2025.06.25 13:52,주식은 세력의 판임~~~,icjh****,377300,305070185,0,67,1,0,쩐의 전쟁~~,
2025.06.25 13:52,금투세를 이재명이 막았다고 하는 모지리들...,lkzz****,377300,305070175,1,77,0,0,"민주당은 당론이 금투세 도입이야

국민의힘이 금투세에 반대했지. 윤석열이나 한동훈이.

근대 이재명이 금투세를 막았다고 얘기하는 사람이 있네?

그건 대통령되고 싶은데 니들 눈치 보여서 잠깐 철회한거지. 권력에 눈이 멀어서

민주당이 집권한 이상 금투세는 도입되게 되있어.

최소한 이재명이 금투세를 막아줬다는둥 헛소리는 하고 다니지말자

금투세도입에 찬성하는 사람이 무슨 금투세를 막아줬대 ㅋㅋ",그건 양심이없네.. 민ㅈ당 나중에 언제든 금투세 시행하려고 벼르고 있는중임.. 돈 겁나 뿌리는데 거둬들일 구멍은 많이없거든;;
2025.06.25 13:50,이제 ㅈ되었다고봄,dx******,377300,305069962,4,407,8,2,오를땐 신났겠지.떨어질때도 화끈할듯..,오르는데 | ㅋㅋㅋㅋㅋㅋ카카오 44700털고나왔음?ㅠ | 배 놓쳐서 배아프지 ? | 확실히
2025.06.25 13:48,상식으로 하세요,grac****,377300,305069630,0,95,0,0,"당신이 세력이면 얼마까지 흔들거에요?

-5%는 되야 하지 않겠어요?",
2025.06.25 13:48,빨리나와,remi****,377300,305069600,0,62,0,0,이거 못구해~,
2025.06.25 13:48,투경끝날때까지 참아라,kkaa****,377300,305069579,0,115,0,0,"4만부터 계속 개미꺼빨어먹구 올렸다,,내리겠지내리겟지 계속올림,,기다려ㅏ",
2025.06.25 13:47,빨리,rsng****,377300,305069515,0,38,0,0,돔황쳐,
2025.06.25 13:46,피뢰침 ㅋㅋㅋㅋ지렸다 좋은장에서 물린애들...,ytg6****,377300,305069379,1,169,2,1,"걍 주식접자 ㅋㅋㅋ11.5만원 절대안온다 ㅋㅋㅋ
한달전만해도 2.8만원 4배가까이 올랐었는데 초고층에서 물리면 답도없지 ㅋㅋㅋㅋㅋ",그럼 17층은 어떻게 갔다고 생각해?너가 돈 못버는 이유
2025.06.25 13:46,다 뱅크로 넘어가는중,tk******,377300,305069335,1,125,0,2,등락률 참고하시길..,뱅크로?!ㅋㅋ 이사람이 더 사악하네 ㅋㅋ
2025.06.25 13:45,"오!~우!! , 평단~49,800에~~...",pm******,377300,305069207,0,133,0,3,나머지~3천주는~~20만량부터 분할 매도 계획~~~~~~~~~세력~~작전 들어가면~~5~10배 사이 돼야~~~수익 챙길수 잇어~~~~~~알간!!!!!!!!!!!,
2025.06.25 14:17,조도 못먹냐,sy******,034020,305073550,0,4,0,0,그만팔고 주어 담아라 눈먼 봉사들아~~~,
2025.06.25 14:16,오늘은,sjia****,034020,305073495,0,16,0,0,미증시 뉴스켈 보고 들어온 단타꾼들 ㅡ.ㅡ,
2025.06.25 14:16,상법개정 최대수혜주,ute1****,034020,305073463,0,26,0,0,,
2025.06.25 14:16,기가 막히긴 하네,hwoo****,034020,305073449,0,31,0,0,"신용불가 뜨자마자 내리 꽂아서

개인매수세 못붙게 하고 조정

오늘도 하나 배워 갑니다~",이런건 안배워도 돼.
2025.06.25 14:16,단타만 시작하면서부터,jjw8****,034020,305073433,0,17,0,0,,
2025.06.25 14:16,들고계신분들은 참고라도....,cool****,034020,305073429,0,22,5,0,,
2025.06.25 14:15,오늘 전국민 종가베팅은,sung****,034020,305073373,0,22,1,0,두빌이네~~★★★,
2025.06.25 14:15,기회 비용 제대로 살려야..,tmdr****,034020,305073312,0,17,1,1,"주포님 꾸욱 눌러 줘서 .. 조금 담궜습니당...^&^...
우리주포.. Fighting!!

오늘은 진짜 주포성님이 “한 템포 쉬어가자”는 시그널을 준 날 같네요
급등 후 눌림은 늘 오는 법이지만, 이렇게 의도적으로 눌러주는 듯한 흐름은 오히려 다음 시나리오를 짜기 좋죠.
특히 두빌이처럼 테마와 실적이 동시에 받쳐주는 종목은, 주포의 ‘숨 고르기’가 끝난 뒤
다시 한 번 강하게 치고 나갈 가능성도 있어요.
오늘처럼 거래량 동반한 음봉은 단기 조정의 전형적인 모습이기도 하고요...그래.. !!..",
2025.06.25 14:15,왜이러는지 아는사람,hoye****,034020,305073311,2,71,0,0,,
2025.06.25 14:15,내돈으로 편하게 투자하기..,inap****,034020,305073309,0,11,1,0,"어차피 세계적원전 건설붐에
언젠가는 시간이 흘러흘러
10만원도 넘고
20만원도 넘고 할텐데..멀
내돈으로 사서 그냥 묻어놔라
...
...
한국은 해체를 위한 핵심 기반 기술 총 96개를 확보한 상태다. 한수원이 해체시설 구조적 안전진단 등 58개 기술을, 한국원자력연구원이 38개 기술을 보유 중이다.

KINS 관계자는 ""우리나라의 원전 해체 승인 절차는 미국보다 안전성 검토를 강화해 엄격한 편이다. 계획대로 이행한다면 해체 사업자가 실제 해체를 수행하는 데 큰 문제가 없을 것으로 본다""고 했다. 다만 실제 해체 작업이 시작되면 앞선 경험이 많은 미국과 다방면으로 협력할 계획이다.

고리 1호기 해체 승인 여부는 26일 열리는 원자력안전위원회 회의에서 판가름 난다.",
2025.06.25 14:15,이재명정부,lee1****,034020,305073286,0,17,0,1,"친중친북 반미주의자들. 미군철수외치던 자들이 정권에 포진하니 미국이 대한민국 째려보고있다.
퇴직금도 연금으로 받게한다고 사유재산침해하고 북한이 서해에 핵폐기물 방류해도 뉴스에 나오지도 않고..
나라꼴이 개판되기 직전이다.",윤정권에서 나라 개판 만들어놨는거. 이 정부가나라. 살라려고 퇴근도 제시간에 못하고 일하는거 너 안구에는 보이지않는거지??귀을 열고. 좀들어보길 바란다
2025.06.25 14:15,반등?하겠다?,hrp0****,034020,305073285,0,21,1,0,?,
2025.06.25 14:14,봤냐'? 봤냐고!! 내가 쏠려고 기모으...,jin0****,034020,305073270,4,37,1,1,"?제? ㅋㅋ ehdc 포함 나한테 뭐라던 인간들 ㅋㅋ 니들은 참 보는 눈도없고 센스도 감도없냐? 그러니 맨날잃지 ㅋㅋㅋㅋㅋ
나봐라 과감한투자!! 쩌는센스",와우 쩌는 쎈쑤 | 좀 더 쏴야지!!! | 내가 사라고 하면 걍 다물고 사라 | 죽돌이인가 게시판 도배를하는구만 | 이것이 능력인것이야
